model,cwe_category,n,n_vuln,n_benign,accuracy,accuracy_ci,false_negative_rate,fnr_ci,false_positive_rate,fpr_ci
llama-3.1-8b-instant,CWE-119,30,15,15,0.5333333333333333,"[36%, 70%]",0.8666666666666667,"[62%, 96%]",0.06666666666666667,"[1%, 30%]"
llama-3.1-8b-instant,CWE-125,30,15,15,0.4666666666666667,"[30%, 64%]",0.9333333333333333,"[70%, 99%]",0.13333333333333333,"[4%, 38%]"
llama-3.1-8b-instant,CWE-189,30,15,15,0.5,"[33%, 67%]",0.9333333333333333,"[70%, 99%]",0.06666666666666667,"[1%, 30%]"
llama-3.1-8b-instant,CWE-190,30,15,15,0.5,"[33%, 67%]",0.9333333333333333,"[70%, 99%]",0.06666666666666667,"[1%, 30%]"
llama-3.1-8b-instant,CWE-20,30,15,15,0.5,"[33%, 67%]",0.9333333333333333,"[70%, 99%]",0.06666666666666667,"[1%, 30%]"
llama-3.1-8b-instant,CWE-200,30,15,15,0.5,"[33%, 67%]",0.9333333333333333,"[70%, 99%]",0.06666666666666667,"[1%, 30%]"
llama-3.1-8b-instant,CWE-264,30,15,15,0.4666666666666667,"[30%, 64%]",1.0,"[80%, 100%]",0.06666666666666667,"[1%, 30%]"
llama-3.1-8b-instant,CWE-310,30,15,15,0.5,"[33%, 67%]",1.0,"[80%, 100%]",0.0,"[0%, 20%]"
llama-3.1-8b-instant,CWE-362,30,15,15,0.5,"[33%, 67%]",1.0,"[80%, 100%]",0.0,"[0%, 20%]"
llama-3.1-8b-instant,CWE-399,30,15,15,0.5,"[33%, 67%]",1.0,"[80%, 100%]",0.0,"[0%, 20%]"
llama-3.1-8b-instant,CWE-415,30,15,15,0.5666666666666667,"[39%, 73%]",0.8,"[55%, 93%]",0.06666666666666667,"[1%, 30%]"
llama-3.1-8b-instant,CWE-416,30,15,15,0.5,"[33%, 67%]",1.0,"[80%, 100%]",0.0,"[0%, 20%]"
llama-3.1-8b-instant,CWE-476,30,15,15,0.5,"[33%, 67%]",1.0,"[80%, 100%]",0.0,"[0%, 20%]"
llama-3.1-8b-instant,CWE-772,30,15,15,0.5,"[33%, 67%]",1.0,"[80%, 100%]",0.0,"[0%, 20%]"
llama-3.1-8b-instant,CWE-787,30,15,15,0.5,"[33%, 67%]",0.9333333333333333,"[70%, 99%]",0.06666666666666667,"[1%, 30%]"
llama-3.3-70b-versatile,CWE-119,30,15,15,0.5666666666666667,"[39%, 73%]",0.0,"[0%, 20%]",0.8666666666666667,"[62%, 96%]"
llama-3.3-70b-versatile,CWE-125,30,15,15,0.5333333333333333,"[36%, 70%]",0.0,"[0%, 20%]",0.9333333333333333,"[70%, 99%]"
llama-3.3-70b-versatile,CWE-189,7,4,3,0.5714285714285714,"[25%, 84%]",0.0,"[0%, 49%]",1.0,"[44%, 100%]"
llama-3.3-70b-versatile,CWE-20,30,15,15,0.5,"[33%, 67%]",0.26666666666666666,"[11%, 52%]",0.7333333333333333,"[48%, 89%]"
llama-3.3-70b-versatile,CWE-200,30,15,15,0.5,"[33%, 67%]",0.13333333333333333,"[4%, 38%]",0.8666666666666667,"[62%, 96%]"
llama-3.3-70b-versatile,CWE-264,30,15,15,0.4,"[25%, 58%]",0.4,"[20%, 64%]",0.8,"[55%, 93%]"
